city_name;postal_code;area_sqm;population;category
Metzingen;72555;34.55;22084;smaller
Quickborn;25451;43.16;22015;smaller
Eppingen;75031;88.58;22001;smaller
Gardelegen;39638;633.23;21980;smaller
Radevormwald;42477;53.86;21952;smaller
Glauchau;08371;51.62;21914;smaller
Waldkirch;79183;48.47;21899;smaller
Bad Rappenau;74906;73.56;21876;smaller
Heide;25746;31.97;21844;smaller
Versmold;33775;85.57;21829;smaller
Bad Harzburg;38667;65.52;21754;smaller
Elsdorf;50189;66.17;21745;smaller
Eschborn;65760;41609;21734;smaller
Flörsheim am Main;65439;22.99;21671;smaller
Hockenheim;68766;34.84;21620;smaller
Sonthofen;87527;46.55;21589;smaller
Halle (Westf.);33790;69.7;21574;smaller
Eckernförde;24340;21.58;21573;smaller
Aichach;86551;92.83;21515;smaller
Xanten;46509;72.43;21502;smaller
Spremberg/Grodk;03130;202.32;21464;smaller
Schwetzingen;68723;45067;21435;smaller
Geseke;59590;97.89;21411;smaller
Seligenstadt;63500;30.85;21345;smaller
Eislingen/Fils;73054;16.41;21329;smaller
Büren;33142;170.99;21328;smaller
Osterode am Harz;37520;102.54;21316;smaller
Soltau;29614;203.77;21309;smaller
Mühldorf a.Inn;84453;29.42;21254;smaller
Zerbst/Anhalt;39261;468.94;21234;smaller
Günzburg;89312;55.4;21233;smaller
Puchheim;82178;45627;21221;smaller
Waghäusel;68753;42.84;21178;smaller
Stadtallendorf;35260;78.24;21121;smaller
Waren (Müritz);17192;159.46;21116;smaller
Rees;46459;109.86;21045;smaller
Bad Krozingen;79189;35.69;21029;smaller
Wülfrath;42489;32.27;21009;smaller
Groß-Umstadt;64823;86.84;21001;smaller
Schramberg;78713;80.7;20972;smaller
Sondershausen;99706;201.21;20885;smaller
Wipperfürth;51688;118.3;20879;smaller
Traunstein;83278;48.57;20868;smaller
Traunreut;83294;45.06;20861;smaller
Germersheim;76726;21.68;20716;smaller
Wildeshausen;27793;89.7;20667;smaller
Nördlingen;86720;68.09;20644;smaller
Bruchköbel;63486;29.69;20602;smaller
Zülpich;53909;101.01;20597;smaller
Schortens;26419;68.79;20590;smaller
Mössingen;72116;50.03;20567;smaller
Nidderau;61130;46.73;20539;smaller
